# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 9.940e-07 1.154e-06 1.064e-06 3.597e-08
      13 1.071e-06 1.241e-06 1.145e-06 4.257e-08
      16 1.225e-06 1.414e-06 1.315e-06 5.337e-08
      20 1.475e-06 1.776e-06 1.623e-06 7.778e-08
      25 2.015e-06 2.436e-06 2.206e-06 1.056e-07
      32 2.854e-06 3.900e-06 3.301e-06 2.651e-07
      40 4.018e-06 4.808e-06 4.416e-06 1.913e-07
      50 5.618e-06 7.412e-06 6.237e-06 4.056e-07
      63 8.132e-06 9.483e-06 8.866e-06 3.422e-07
      79 1.252e-05 1.436e-05 1.352e-05 5.116e-07
     100 1.976e-05 2.418e-05 2.145e-05 1.173e-06
     126 3.244e-05 4.059e-05 3.600e-05 2.132e-06
     158 4.560e-05 5.578e-05 4.934e-05 2.385e-06
     200 7.037e-05 8.937e-05 7.753e-05 4.863e-06
     251 1.098e-04 1.406e-04 1.206e-04 8.562e-06
     316 1.785e-04 2.219e-04 1.998e-04 1.077e-05
     398 2.936e-04 3.597e-04 3.297e-04 1.561e-05
     501 4.099e-04 4.872e-04 4.311e-04 1.859e-05
     631 6.404e-04 6.975e-04 6.608e-04 1.458e-05
     794 1.005e-03 1.119e-03 1.033e-03 2.192e-05
    1000 1.590e-03 1.717e-03 1.632e-03 2.855e-05
    1259 2.495e-03 2.603e-03 2.547e-03 2.867e-05
    1585 3.972e-03 4.167e-03 4.040e-03 4.052e-05
    1995 6.294e-03 6.496e-03 6.398e-03 4.983e-05
    2512 1.018e-02 1.081e-02 1.038e-02 1.494e-04
    3162 1.655e-02 1.732e-02 1.682e-02 1.698e-04
    3981 2.736e-02 2.879e-02 2.784e-02 4.082e-04
    5012 4.536e-02 4.621e-02 4.577e-02 2.208e-04
    6310 7.512e-02 7.661e-02 7.578e-02 3.468e-04
    7943 1.239e-01 1.293e-01 1.259e-01 1.479e-03
   10000 2.031e-01 2.061e-01 2.045e-01 7.763e-04
#------- --------- --------- --------- ---------


