# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.127e-06 1.299e-06 1.194e-06 4.207e-08
      13 1.229e-06 1.453e-06 1.307e-06 5.251e-08
      16 1.328e-06 1.505e-06 1.400e-06 4.625e-08
      20 1.473e-06 1.718e-06 1.558e-06 5.925e-08
      25 1.711e-06 1.949e-06 1.805e-06 5.777e-08
      32 2.077e-06 2.364e-06 2.192e-06 6.357e-08
      40 2.306e-06 2.740e-06 2.494e-06 1.129e-07
      50 2.697e-06 3.183e-06 2.909e-06 1.197e-07
      63 3.422e-06 4.302e-06 3.760e-06 2.175e-07
      79 4.300e-06 5.153e-06 4.702e-06 2.078e-07
     100 4.877e-06 6.391e-06 5.663e-06 4.964e-07
     126 7.039e-06 8.415e-06 7.739e-06 3.757e-07
     158 9.104e-06 1.043e-05 9.708e-06 4.126e-07
     200 1.194e-05 1.317e-05 1.241e-05 3.183e-07
     251 1.502e-05 1.741e-05 1.641e-05 5.586e-07
     316 1.972e-05 2.230e-05 2.114e-05 7.265e-07
     398 2.410e-05 2.856e-05 2.709e-05 1.069e-06
     501 3.426e-05 3.830e-05 3.631e-05 1.147e-06
     631 4.218e-05 4.935e-05 4.590e-05 1.983e-06
     794 5.395e-05 6.655e-05 6.019e-05 3.465e-06
    1000 7.239e-05 9.088e-05 7.983e-05 4.128e-06
    1259 9.326e-05 1.136e-04 1.029e-04 5.292e-06
    1585 1.192e-04 1.515e-04 1.356e-04 6.752e-06
    1995 1.597e-04 1.905e-04 1.745e-04 8.048e-06
    2512 2.051e-04 2.407e-04 2.215e-04 8.703e-06
    3162 2.671e-04 3.058e-04 2.867e-04 9.497e-06
    3981 3.427e-04 3.895e-04 3.655e-04 1.354e-05
    5012 4.430e-04 5.232e-04 4.867e-04 2.268e-05
    6310 6.083e-04 6.751e-04 6.419e-04 1.844e-05
    7943 7.665e-04 8.591e-04 8.146e-04 2.426e-05
   10000 9.785e-04 1.111e-03 1.042e-03 3.463e-05
#------- --------- --------- --------- ---------


