# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.480e-07 1.333e-06 1.035e-06 1.135e-07
      13 8.660e-07 9.070e-07 8.826e-07 1.033e-08
      16 8.980e-07 9.400e-07 9.163e-07 1.095e-08
      20 9.490e-07 1.003e-06 9.696e-07 1.287e-08
      25 1.019e-06 1.080e-06 1.046e-06 1.567e-08
      32 1.131e-06 1.194e-06 1.161e-06 1.570e-08
      40 1.273e-06 1.352e-06 1.313e-06 2.246e-08
      50 1.473e-06 1.606e-06 1.534e-06 3.206e-08
      63 1.804e-06 1.944e-06 1.875e-06 3.661e-08
      79 2.226e-06 2.421e-06 2.335e-06 5.060e-08
     100 2.919e-06 3.189e-06 3.062e-06 6.960e-08
     126 3.916e-06 4.344e-06 4.117e-06 1.039e-07
     158 5.384e-06 6.000e-06 5.684e-06 1.599e-07
     200 7.750e-06 8.632e-06 8.214e-06 2.168e-07
     251 1.146e-05 1.245e-05 1.199e-05 2.490e-07
     316 1.704e-05 1.863e-05 1.783e-05 4.357e-07
     398 2.575e-05 2.779e-05 2.673e-05 5.639e-07
     501 3.963e-05 4.254e-05 4.111e-05 7.304e-07
     631 6.084e-05 6.545e-05 6.305e-05 1.132e-06
     794 9.540e-05 1.007e-04 9.774e-05 1.327e-06
    1000 1.480e-04 1.579e-04 1.530e-04 2.379e-06
    1259 2.322e-04 2.488e-04 2.392e-04 4.005e-06
    1585 3.674e-04 3.819e-04 3.747e-04 4.026e-06
    1995 5.741e-04 5.980e-04 5.870e-04 5.943e-06
    2512 9.122e-04 1.956e-03 1.047e-03 2.916e-04
    3162 1.436e-03 1.496e-03 1.461e-03 1.338e-05
    3981 2.298e-03 2.899e-03 2.466e-03 1.689e-04
    5012 3.855e-03 8.199e-03 7.124e-03 1.252e-03
    6310 8.169e-03 1.289e-02 1.166e-02 1.095e-03
    7943 9.074e-03 1.175e-02 9.804e-03 7.530e-04
   10000 1.445e-02 1.884e-02 1.557e-02 9.153e-04
#------- --------- --------- --------- ---------


