# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.104e-06 1.446e-06 1.199e-06 7.870e-08
      13 1.147e-06 1.325e-06 1.204e-06 3.852e-08
      16 1.201e-06 1.313e-06 1.254e-06 2.875e-08
      20 1.339e-06 1.469e-06 1.396e-06 3.126e-08
      25 1.463e-06 1.583e-06 1.522e-06 3.278e-08
      32 1.646e-06 1.831e-06 1.737e-06 4.453e-08
      40 1.919e-06 2.095e-06 1.995e-06 4.569e-08
      50 2.245e-06 2.605e-06 2.359e-06 7.230e-08
      63 2.723e-06 3.968e-06 3.009e-06 3.159e-07
      79 3.314e-06 3.995e-06 3.449e-06 1.092e-07
     100 4.098e-06 4.382e-06 4.254e-06 7.559e-08
     126 4.573e-06 5.485e-06 5.174e-06 2.595e-07
     158 6.257e-06 6.928e-06 6.645e-06 1.504e-07
     200 7.860e-06 9.328e-06 8.751e-06 3.405e-07
     251 9.745e-06 1.158e-05 1.082e-05 4.671e-07
     316 1.411e-05 1.506e-05 1.456e-05 2.265e-07
     398 1.818e-05 1.933e-05 1.868e-05 2.982e-07
     501 2.111e-05 2.488e-05 2.352e-05 9.474e-07
     631 2.749e-05 3.236e-05 3.073e-05 1.321e-06
     794 3.926e-05 4.306e-05 4.114e-05 9.611e-07
    1000 5.162e-05 5.502e-05 5.354e-05 8.261e-07
    1259 6.417e-05 7.435e-05 6.959e-05 2.264e-06
    1585 8.567e-05 9.293e-05 8.914e-05 1.598e-06
    1995 1.114e-04 1.229e-04 1.162e-04 2.812e-06
    2512 1.420e-04 1.589e-04 1.501e-04 3.996e-06
    3162 1.777e-04 2.110e-04 1.932e-04 9.450e-06
    3981 2.345e-04 2.683e-04 2.513e-04 8.958e-06
    5012 3.047e-04 3.444e-04 3.227e-04 9.524e-06
    6310 3.422e-04 4.406e-04 3.983e-04 2.665e-05
    7943 5.130e-04 5.708e-04 5.329e-04 1.197e-05
   10000 6.689e-04 7.377e-04 7.018e-04 1.694e-05
#------- --------- --------- --------- ---------


