# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.136e-06 1.483e-06 1.221e-06 6.361e-08
      13 1.185e-06 1.565e-06 1.275e-06 7.179e-08
      16 1.308e-06 1.556e-06 1.433e-06 6.530e-08
      20 1.491e-06 1.795e-06 1.624e-06 7.058e-08
      25 1.691e-06 1.960e-06 1.827e-06 7.692e-08
      32 1.935e-06 2.246e-06 2.087e-06 6.319e-08
      40 2.121e-06 2.704e-06 2.320e-06 1.646e-07
      50 2.994e-06 3.826e-06 3.400e-06 2.289e-07
      63 4.632e-06 5.188e-06 4.873e-06 1.155e-07
      79 5.539e-06 7.583e-06 6.998e-06 4.799e-07
     100 8.218e-06 1.126e-05 1.028e-05 9.161e-07
     126 1.334e-05 1.666e-05 1.574e-05 7.899e-07
     158 2.014e-05 2.607e-05 2.434e-05 1.141e-06
     200 2.710e-05 4.119e-05 3.364e-05 4.014e-06
     251 4.396e-05 6.245e-05 5.666e-05 4.475e-06
     316 7.264e-05 9.935e-05 8.988e-05 7.836e-06
     398 1.142e-04 1.570e-04 1.426e-04 1.032e-05
     501 1.859e-04 2.458e-04 2.183e-04 1.647e-05
     631 3.235e-04 4.118e-04 3.708e-04 2.085e-05
     794 5.397e-04 6.276e-04 5.851e-04 2.054e-05
    1000 8.055e-04 9.586e-04 8.893e-04 3.638e-05
    1259 1.309e-03 1.605e-03 1.442e-03 7.592e-05
    1585 1.988e-03 2.323e-03 2.167e-03 8.800e-05
    1995 3.192e-03 3.676e-03 3.431e-03 1.232e-04
    2512 4.840e-03 5.785e-03 5.235e-03 2.534e-04
    3162 6.872e-03 9.161e-03 8.359e-03 4.906e-04
    3981 1.278e-02 1.441e-02 1.347e-02 4.435e-04
    5012 1.399e-02 2.181e-02 1.743e-02 2.851e-03
    6310 2.020e-02 2.268e-02 2.099e-02 6.355e-04
    7943 3.198e-02 3.815e-02 3.360e-02 1.738e-03
   10000 5.116e-02 8.222e-02 5.967e-02 7.355e-03
#------- --------- --------- --------- ---------


