# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 9.420e-07 9.870e-07 9.592e-07 9.902e-09
      13 1.043e-06 1.540e-06 1.246e-06 1.130e-07
      16 1.293e-06 1.707e-06 1.408e-06 8.819e-08
      20 1.471e-06 1.724e-06 1.569e-06 5.927e-08
      25 1.780e-06 2.209e-06 1.943e-06 1.188e-07
      32 2.137e-06 2.743e-06 2.296e-06 1.784e-07
      40 2.913e-06 3.128e-06 3.004e-06 5.416e-08
      50 3.983e-06 4.454e-06 4.113e-06 9.979e-08
      63 5.561e-06 6.167e-06 5.841e-06 1.187e-07
      79 8.424e-06 9.486e-06 8.931e-06 2.933e-07
     100 1.344e-05 1.526e-05 1.408e-05 4.782e-07
     126 1.888e-05 2.050e-05 1.950e-05 4.909e-07
     158 2.954e-05 3.333e-05 3.116e-05 1.026e-06
     200 4.503e-05 4.923e-05 4.689e-05 1.152e-06
     251 7.473e-05 8.853e-05 7.796e-05 3.021e-06
     316 1.148e-04 1.312e-04 1.219e-04 4.703e-06
     398 1.824e-04 2.103e-04 1.944e-04 7.386e-06
     501 2.813e-04 3.446e-04 3.031e-04 1.978e-05
     631 4.458e-04 4.641e-04 4.497e-04 3.929e-06
     794 7.089e-04 7.380e-04 7.176e-04 8.840e-06
    1000 1.128e-03 1.225e-03 1.147e-03 2.433e-05
    1259 1.792e-03 1.977e-03 1.833e-03 4.792e-05
    1585 2.919e-03 3.308e-03 3.127e-03 1.119e-04
    1995 4.521e-03 5.105e-03 4.700e-03 1.812e-04
    2512 7.173e-03 7.551e-03 7.263e-03 1.111e-04
    3162 1.138e-02 1.209e-02 1.147e-02 1.302e-04
    3981 1.806e-02 1.817e-02 1.808e-02 2.452e-05
    5012 2.866e-02 2.906e-02 2.880e-02 9.583e-05
    6310 4.551e-02 4.849e-02 4.649e-02 7.597e-04
    7943 7.214e-02 7.739e-02 7.330e-02 1.299e-03
   10000 1.145e-01 1.183e-01 1.159e-01 1.008e-03
#------- --------- --------- --------- ---------


