# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.127e-06 1.509e-06 1.254e-06 9.475e-08
      13 1.259e-06 1.498e-06 1.368e-06 5.586e-08
      16 1.232e-06 1.675e-06 1.419e-06 1.227e-07
      20 1.430e-06 1.704e-06 1.581e-06 7.400e-08
      25 1.831e-06 2.175e-06 2.024e-06 8.965e-08
      32 2.622e-06 3.039e-06 2.852e-06 1.159e-07
      40 3.567e-06 4.409e-06 3.959e-06 1.898e-07
      50 5.240e-06 6.198e-06 5.697e-06 2.519e-07
      63 7.711e-06 9.001e-06 8.445e-06 3.723e-07
      79 1.160e-05 1.340e-05 1.262e-05 4.765e-07
     100 1.792e-05 2.068e-05 1.933e-05 7.471e-07
     126 2.764e-05 3.209e-05 2.978e-05 1.106e-06
     158 4.269e-05 4.829e-05 4.552e-05 1.563e-06
     200 6.663e-05 7.530e-05 7.153e-05 2.192e-06
     251 1.053e-04 1.150e-04 1.103e-04 2.404e-06
     316 1.643e-04 1.820e-04 1.719e-04 4.660e-06
     398 2.541e-04 2.737e-04 2.637e-04 5.021e-06
     501 4.007e-04 4.267e-04 4.139e-04 6.721e-06
     631 6.221e-04 6.656e-04 6.447e-04 1.069e-05
     794 9.904e-04 1.112e-03 1.026e-03 3.100e-05
    1000 1.561e-03 1.639e-03 1.602e-03 1.905e-05
    1259 2.476e-03 2.637e-03 2.544e-03 4.104e-05
    1585 3.965e-03 4.379e-03 4.058e-03 9.205e-05
    1995 6.310e-03 6.530e-03 6.421e-03 5.411e-05
    2512 1.019e-02 1.050e-02 1.036e-02 7.554e-05
    3162 1.652e-02 1.696e-02 1.673e-02 1.147e-04
    3981 2.693e-02 2.770e-02 2.733e-02 1.937e-04
    5012 4.368e-02 4.478e-02 4.424e-02 2.532e-04
    6310 7.125e-02 7.454e-02 7.220e-02 7.076e-04
    7943 1.152e-01 1.218e-01 1.176e-01 1.742e-03
   10000 1.852e-01 1.896e-01 1.871e-01 1.179e-03
#------- --------- --------- --------- ---------


