# tree_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.395e-06 1.779e-06 1.500e-06 9.133e-08
      13 1.546e-06 1.860e-06 1.674e-06 9.222e-08
      16 1.647e-06 2.049e-06 1.805e-06 1.089e-07
      20 1.761e-06 2.167e-06 1.925e-06 1.217e-07
      25 1.980e-06 2.385e-06 2.182e-06 1.125e-07
      32 2.287e-06 3.004e-06 2.592e-06 1.629e-07
      40 2.867e-06 3.334e-06 3.060e-06 1.343e-07
      50 3.406e-06 3.834e-06 3.602e-06 1.083e-07
      63 4.111e-06 4.822e-06 4.420e-06 1.966e-07
      79 4.928e-06 5.646e-06 5.224e-06 1.734e-07
     100 6.015e-06 6.910e-06 6.479e-06 2.156e-07
     126 7.606e-06 8.673e-06 8.155e-06 2.816e-07
     158 9.864e-06 1.153e-05 1.059e-05 4.163e-07
     200 1.181e-05 1.385e-05 1.279e-05 5.615e-07
     251 1.550e-05 1.839e-05 1.672e-05 7.021e-07
     316 2.014e-05 2.443e-05 2.265e-05 1.170e-06
     398 2.268e-05 2.819e-05 2.562e-05 1.453e-06
     501 2.886e-05 3.536e-05 3.192e-05 1.813e-06
     631 4.113e-05 4.690e-05 4.341e-05 1.319e-06
     794 5.174e-05 6.172e-05 5.548e-05 2.445e-06
    1000 6.866e-05 8.059e-05 7.270e-05 2.818e-06
    1259 9.096e-05 1.035e-04 9.579e-05 3.321e-06
    1585 1.172e-04 1.333e-04 1.234e-04 3.789e-06
    1995 1.552e-04 1.808e-04 1.659e-04 6.105e-06
    2512 2.020e-04 2.324e-04 2.141e-04 7.268e-06
    3162 2.822e-04 3.261e-04 3.051e-04 1.200e-05
    3981 3.738e-04 4.226e-04 3.947e-04 1.331e-05
    5012 4.915e-04 5.635e-04 5.217e-04 1.789e-05
    6310 6.556e-04 7.582e-04 7.045e-04 2.968e-05
    7943 8.665e-04 1.021e-03 9.445e-04 4.325e-05
   10000 1.149e-03 1.270e-03 1.201e-03 3.355e-05
#------- --------- --------- --------- ---------


