 n n*n      sqrt(n)         sin(n)       cos(n)
-- --- ----------------- ------------ ------------
 0   0 0.000000000000000  0.000000000  1.000000000
 1   1 1.000000000000000  0.017452406  0.999847695
 2   4 1.414213562373095  0.034899497  0.999390827
 3   9 1.732050807568877  0.052335956  0.998629535
 4  16 2.000000000000000  0.069756474  0.997564050
 5  25 2.236067977499790  0.087155743  0.996194698
 6  36 2.449489742783178  0.104528463  0.994521895
 7  49 2.645751311064591  0.121869343  0.992546152
 8  64 2.828427124746190  0.139173101  0.990268069
 9  81 3.000000000000000  0.156434465  0.987688341
10 100 3.162277660168380  0.173648178  0.984807753
11 121 3.316624790355400  0.190808995  0.981627183
12 144 3.464101615137754  0.207911691  0.978147601
13 169 3.605551275463989  0.224951054  0.974370065
14 196 3.741657386773941  0.241921896  0.970295726
15 225 3.872983346207417  0.258819045  0.965925826
16 256 4.000000000000000  0.275637356  0.961261696
17 289 4.123105625617661  0.292371705  0.956304756
18 324 4.242640687119285  0.309016994  0.951056516
19 361 4.358898943540674  0.325568154  0.945518576
20 400 4.472135954999580  0.342020143  0.939692621
21 441 4.582575694955840  0.358367950  0.933580426
22 484 4.690415759823430  0.374606593  0.927183855
23 529 4.795831523312719  0.390731128  0.920504853
24 576 4.898979485566356  0.406736643  0.913545458
25 625 5.000000000000000  0.422618262  0.906307787
26 676 5.099019513592784  0.438371147  0.898794046
27 729 5.196152422706632  0.453990500  0.891006524
28 784 5.291502622129181  0.469471563  0.882947593
29 841 5.385164807134504  0.484809620  0.874619707
30 900 5.477225575051661  0.500000000  0.866025404
31 961 5.567764362830022  0.515038075  0.857167301
32 1024 5.656854249492381  0.529919264  0.848048096
33 1089 5.744562646538029  0.544639035  0.838670568
34 1156 5.830951894845301  0.559192903  0.829037573
35 1225 5.916079783099616  0.573576436  0.819152044
36 1296 6.000000000000000  0.587785252  0.809016994
37 1369 6.082762530298219  0.601815023  0.798635510
38 1444 6.164414002968976  0.615661475  0.788010754
39 1521 6.244997998398398  0.629320391  0.777145961
40 1600 6.324555320336759  0.642787610  0.766044443
41 1681 6.403124237432849  0.656059029  0.754709580
42 1764 6.480740698407860  0.669130606  0.743144825
43 1849 6.557438524302000  0.681998360  0.731353702
44 1936 6.633249580710800  0.694658370  0.719339800
45 2025 6.708203932499369  0.707106781  0.707106781
46 2116 6.782329983125268  0.719339800  0.694658370
47 2209 6.855654600401044  0.731353702  0.681998360
48 2304 6.928203230275509  0.743144825  0.669130606
49 2401 7.000000000000000  0.754709580  0.656059029
50 2500 7.071067811865476  0.766044443  0.642787610
51 2601 7.141428428542850  0.777145961  0.629320391
52 2704 7.211102550927978  0.788010754  0.615661475
53 2809 7.280109889280518  0.798635510  0.601815023
54 2916 7.348469228349535  0.809016994  0.587785252
55 3025 7.416198487095663  0.819152044  0.573576436
56 3136 7.483314773547883  0.829037573  0.559192903
57 3249 7.549834435270750  0.838670568  0.544639035
58 3364 7.615773105863909  0.848048096  0.529919264
59 3481 7.681145747868608  0.857167301  0.515038075
60 3600 7.745966692414834  0.866025404  0.500000000
61 3721 7.810249675906654  0.874619707  0.484809620
62 3844 7.874007874011811  0.882947593  0.469471563
63 3969 7.937253933193772  0.891006524  0.453990500
64 4096 8.000000000000000  0.898794046  0.438371147
65 4225 8.062257748298549  0.906307787  0.422618262
66 4356 8.124038404635961  0.913545458  0.406736643
67 4489 8.185352771872450  0.920504853  0.390731128
68 4624 8.246211251235321  0.927183855  0.374606593
69 4761 8.306623862918075  0.933580426  0.358367950
70 4900 8.366600265340756  0.939692621  0.342020143
71 5041 8.426149773176359  0.945518576  0.325568154
72 5184 8.485281374238570  0.951056516  0.309016994
73 5329 8.544003745317530  0.956304756  0.292371705
74 5476 8.602325267042627  0.961261696  0.275637356
75 5625 8.660254037844387  0.965925826  0.258819045
76 5776 8.717797887081348  0.970295726  0.241921896
77 5929 8.774964387392123  0.974370065  0.224951054
78 6084 8.831760866327848  0.978147601  0.207911691
79 6241 8.888194417315589  0.981627183  0.190808995
80 6400 8.944271909999159  0.984807753  0.173648178
81 6561 9.000000000000000  0.987688341  0.156434465
82 6724 9.055385138137417  0.990268069  0.139173101
83 6889 9.110433579144299  0.992546152  0.121869343
84 7056 9.165151389911680  0.994521895  0.104528463
85 7225 9.219544457292887  0.996194698  0.087155743
86 7396 9.273618495495704  0.997564050  0.069756474
87 7569 9.327379053088816  0.998629535  0.052335956
88 7744 9.380831519646859  0.999390827  0.034899497
89 7921 9.433981132056603  0.999847695  0.017452406
90 8100 9.486832980505138  1.000000000  0.000000000
