# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.001e-06 1.490e-06 1.202e-06 1.433e-07
      13 1.040e-06 1.432e-06 1.163e-06 1.098e-07
      16 1.086e-06 1.178e-06 1.132e-06 2.432e-08
      20 1.215e-06 1.386e-06 1.290e-06 3.846e-08
      25 1.387e-06 1.530e-06 1.461e-06 3.890e-08
      32 1.622e-06 1.782e-06 1.702e-06 3.911e-08
      40 1.846e-06 2.060e-06 1.950e-06 5.235e-08
      50 2.253e-06 2.483e-06 2.371e-06 5.660e-08
      63 2.847e-06 3.113e-06 2.965e-06 6.859e-08
      79 3.541e-06 3.850e-06 3.691e-06 7.871e-08
     100 4.480e-06 4.860e-06 4.662e-06 9.807e-08
     126 5.635e-06 6.023e-06 5.806e-06 1.047e-07
     158 7.719e-06 8.202e-06 7.987e-06 1.170e-07
     200 1.028e-05 1.449e-05 1.274e-05 1.147e-06
     251 1.664e-05 1.814e-05 1.740e-05 3.800e-07
     316 2.212e-05 2.364e-05 2.279e-05 4.220e-07
     398 2.829e-05 3.120e-05 2.959e-05 7.625e-07
     501 3.774e-05 4.210e-05 3.990e-05 1.136e-06
     631 4.983e-05 5.768e-05 5.237e-05 1.628e-06
     794 6.396e-05 7.113e-05 6.713e-05 1.869e-06
    1000 8.190e-05 9.250e-05 8.646e-05 2.439e-06
    1259 1.003e-04 1.213e-04 1.134e-04 4.521e-06
    1585 1.281e-04 1.590e-04 1.472e-04 7.605e-06
    1995 1.748e-04 2.098e-04 1.956e-04 8.823e-06
    2512 2.284e-04 2.699e-04 2.531e-04 1.078e-05
    3162 3.060e-04 3.429e-04 3.272e-04 9.855e-06
    3981 4.100e-04 4.568e-04 4.358e-04 1.255e-05
    5012 5.336e-04 6.120e-04 5.800e-04 1.884e-05
    6310 7.314e-04 7.878e-04 7.583e-04 1.406e-05
    7943 9.373e-04 1.024e-03 9.842e-04 1.886e-05
   10000 1.224e-03 1.323e-03 1.280e-03 2.339e-05
#------- --------- --------- --------- ---------


