# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.083e-06 1.177e-06 1.118e-06 2.089e-08
      13 1.140e-06 1.227e-06 1.175e-06 1.945e-08
      16 1.198e-06 1.395e-06 1.237e-06 3.220e-08
      20 1.276e-06 1.371e-06 1.315e-06 2.302e-08
      25 1.424e-06 1.558e-06 1.477e-06 3.386e-08
      32 1.623e-06 2.034e-06 1.749e-06 9.796e-08
      40 1.907e-06 2.224e-06 2.029e-06 7.162e-08
      50 2.194e-06 2.390e-06 2.278e-06 4.586e-08
      63 2.619e-06 2.851e-06 2.729e-06 6.083e-08
      79 3.323e-06 3.612e-06 3.443e-06 7.686e-08
     100 4.262e-06 4.724e-06 4.544e-06 1.067e-07
     126 5.031e-06 5.630e-06 5.280e-06 1.717e-07
     158 6.948e-06 7.555e-06 7.195e-06 1.313e-07
     200 8.434e-06 9.575e-06 8.865e-06 3.674e-07
     251 1.114e-05 1.227e-05 1.172e-05 3.793e-07
     316 1.402e-05 1.687e-05 1.555e-05 6.508e-07
     398 1.893e-05 2.081e-05 1.965e-05 4.188e-07
     501 2.491e-05 2.715e-05 2.594e-05 5.232e-07
     631 3.255e-05 3.830e-05 3.489e-05 1.193e-06
     794 3.931e-05 4.704e-05 4.388e-05 1.988e-06
    1000 5.303e-05 6.253e-05 5.669e-05 1.984e-06
    1259 7.122e-05 8.930e-05 7.876e-05 4.331e-06
    1585 9.570e-05 1.102e-04 1.014e-04 2.662e-06
    1995 1.178e-04 1.345e-04 1.238e-04 3.880e-06
    2512 1.484e-04 1.785e-04 1.634e-04 7.645e-06
    3162 1.958e-04 2.253e-04 2.076e-04 7.155e-06
    3981 2.524e-04 2.832e-04 2.679e-04 7.474e-06
    5012 3.289e-04 3.714e-04 3.499e-04 1.120e-05
    6310 4.322e-04 4.748e-04 4.538e-04 1.000e-05
    7943 4.589e-04 6.479e-04 5.848e-04 3.800e-05
   10000 7.282e-04 8.049e-04 7.655e-04 2.064e-05
#------- --------- --------- --------- ---------


